"Input";"Wdth";"hight";"Timestamp";"Number";"Date";"Key"
Kamera 1; videowdth 1280; videohight 960; 1508923369.29; Nummer 124; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923369.37; Nummer 125; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923369.46; Nummer 126; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923369.55; Nummer 127; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923369.63; Nummer 128; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923369.72; Nummer 129; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923369.8; Nummer 130; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923369.88; Nummer 131; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923369.96; Nummer 132; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923370.05; Nummer 133; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923370.13; Nummer 134; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923370.21; Nummer 135; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923370.3; Nummer 136; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923370.38; Nummer 137; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923370.47; Nummer 138; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923370.56; Nummer 139; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923370.64; Nummer 140; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923370.72; Nummer 141; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923370.81; Nummer 142; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923370.89; Nummer 143; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923370.97; Nummer 144; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923371.06; Nummer 145; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923371.14; Nummer 146; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923371.22; Nummer 147; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923371.31; Nummer 148; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923371.39; Nummer 149; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923371.47; Nummer 150; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923371.56; Nummer 151; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923371.64; Nummer 152; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923371.72; Nummer 153; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923371.79; Nummer 154; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923371.87; Nummer 155; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923371.96; Nummer 156; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923372.04; Nummer 157; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923372.13; Nummer 158; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923372.21; Nummer 159; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923372.3; Nummer 160; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923372.38; Nummer 161; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923372.47; Nummer 162; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923372.56; Nummer 163; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923372.64; Nummer 164; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923372.73; Nummer 165; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923372.81; Nummer 166; ;objekt
